GMO RESTAURANT INC,"43 W 32ND ST
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",341,RW,12/31/2014,Expired,1143755,RESTAURANT WINE,Expired,3,09/09/2003,01/01/2013,12/31/2014
461 INC,"461 7TH AVE
CORNER 7TH AVE & 35TH STREET
NEW YORK, NY 10001",141,EB,12/31/2006,License is Inactive,1144309,EATING PLACE BEER,License is Inactive,1,09/26/2003,01/16/2004,12/31/2006
461 INC,"461 7TH AVE
NEW YORK, NY 10001",001,ST,01/14/2004,License is Inactive,1144310,TEMPORARY PERMIT,License is Inactive,1,09/26/2003,10/17/2003,01/14/2004
35TH STREET FARM CORP,"461 7TH AVENUE
NEW YORK, NY 10001",ML1,RW,01/16/2004,License is Inactive,1144311,RESTAURANT WINE,License is Inactive,1,09/26/2003,01/16/2004,01/16/2004
HOOPS AND STIX LLC,"224 W 30TH ST
7TH AVENUE & 8TH AVENUE
NEW YORK, NY 10001",252,OP,,License is Inactive,1144332,ON-PREMISES LIQUOR,License is Inactive,2,09/26/2003,,
VINEYARD FOOD BEVERAGE INC,"297 7TH AVENUE
26TH STREET & 27TH STREET
NEW YORK, NY 10001",141,EB,12/31/2015,License is Inactive,1144392,EATING PLACE BEER,License is Inactive,4,09/29/2003,03/01/2013,12/31/2015
VINEYARD FOOD BEVERAGE INC,"297 7TH AVENUE
NEW YORK, NY 10001",001,ST,,License is Inactive,1144393,TEMPORARY PERMIT,License is Inactive,4,09/29/2003,,
LILY FARM CORP,"297 7TH AVE
NEW YORK, NY 10001",ML1,EB,01/12/2004,License is Inactive,1144394,EATING PLACE BEER,License is Inactive,4,09/29/2003,01/12/2004,01/12/2004
GO WEST ENTERTAINMENT INC,"533 535 W 27TH STREET
10TH AVENUE & 11TH AVENUE
NEW YORK, NY 10001",252,OP,02/29/2008,License is Inactive,1144563,ON-PREMISES LIQUOR,License is Inactive,3,10/01/2003,03/01/2006,02/29/2008
GO WEST ENTERTAINMENT INC,"533 535 W 27TH STREET
NEW YORK, NY 10001",901,OP,02/29/2008,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,3,"
",GO WEST ENTERTAINMENT INC,ADDL BAR RESTAURANT ,1
GO WEST ENTERTAINMENT INC,"533 535 W 27TH STREET
NEW YORK, NY 10001",902,OP,02/29/2008,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,3,"
",GO WEST ENTERTAINMENT INC,ADDL BAR MEZZANINE BAR,1
SPECIALTY BEVERAGE LLC,"119 W 25TH STREET
6TH & 7TH AVENUES
NEW YORK, NY 10001",105,CO,,License is Inactive,1144642,WHOLESALE BEER(CO),License is Inactive,,10/03/2003,,
UNCLE JACK S STEAKHOUSE INC,"440 9TH AVENUE
35TH STREET
NEW YORK, NY 10001",252,OP,11/30/2017,License is Active,1144711,ON-PREMISES LIQUOR,License is Active,1,10/07/2003,12/01/2015,11/30/2017
MICHIKO SHIODA CORPORATION,"352 7TH AVENUE, SUITE 1241
29TH & 30TH STREETS
NEW YORK, NY 10001",303,WW,12/31/2004,Expired,1144889,WHOLESALE WINE,Expired,,10/15/2003,01/20/2004,12/31/2004
ANDREW'S COFFEE SHOP OF 34TH STREET INC,"316 WEST 34TH STREET
8TH & 9TH AVENUES
NEW YORK, NY 10001",341,RW,11/30/2009,Expired,1144902,RESTAURANT WINE,Expired,1,10/15/2003,12/01/2008,11/30/2009
819 GOURMET DELI PIZZA CORP,"819 6TH AVENUE
CRN OF 29TH STREET
NEW YORK, NY 10001",122,AX,11/30/2006,Expired,1145194,"GROCERY BEER, WINE PROD",Expired,4,10/23/2003,12/30/2003,11/30/2006
837 CHELSAE DELI CORP,"837 6TH AVE
OFF CRN OF 20TH STREET
NEW YORK, NY 10001",122,AX,12/31/2006,Expired,1145202,"GROCERY BEER, WINE PROD",Expired,1,10/23/2003,01/13/2004,12/31/2006
837 GOURMET DELI INC,"837 6TH AVENUE
NEW YORK, NY 10001",ML1,AX,01/13/2004,License is Inactive,1145203,"GROCERY BEER, WINE PROD",License is Inactive,1,10/23/2003,01/13/2004,01/13/2004
CHELSEA GRAND LLC & STRAW BROTHERS OPERATING CORP,"158 160 W 25TH ST
6TH & 7TH AVES ATTN HUNG LUK
NEW YORK, NY 10001",242,HL,12/31/2017,License is Active,1145264,HOTEL LIQUOR,License is Active,3,10/27/2003,04/11/2016,12/31/2017
HONG DAE IP KU CORP,"25 W 32ND ST
2ND FLOOR
NEW YORK, NY 10001",252,OP,02/29/2016,Expired,1145270,ON-PREMISES LIQUOR,Expired,3,10/27/2003,03/01/2014,02/29/2016
CHORUS MUSIC STUDIO INC,"25 W 32ND ST
3RD FLOOR
NEW YORK, NY 10001",252,OP,02/28/2018,License is Active,1145632,ON-PREMISES LIQUOR,License is Active,2,11/06/2003,03/01/2016,02/28/2018
MONTES FOOD CORP,"41 W 33RD STREET
5TH & 6TH AVENUES
NEW YORK, NY 10001",141,EB,02/29/2016,License is Inactive,1145696,EATING PLACE BEER,License is Inactive,4,11/07/2003,03/01/2013,02/29/2016
41 MANABI FOOD CORP,"41 W 33RD STREET
NEW YORK, NY 10001",ML1,EB,03/17/2004,License is Inactive,1145697,EATING PLACE BEER,License is Inactive,4,11/07/2003,03/17/2004,03/17/2004
KONG CHI PA CHI INC,"390 8TH AVENUE
28TH & 29TH
NEW YORK, NY 10001",252,OP,01/31/2006,License is Inactive,1145712,ON-PREMISES LIQUOR,License is Inactive,1,11/07/2003,02/19/2004,01/31/2006
CAFE 101 SIXTH AVE CORP,"875 6TH AVENUE
WEST 31ST &W 32ND STREETS
NEW YORK, NY 10001",122,AX,12/31/2006,Expired,1145743,"GROCERY BEER, WINE PROD",Expired,2,11/10/2003,01/21/2004,12/31/2006
F L NAVARRO LTD,"440 9TH AVE 11TH FLOOR
9TH AVENUE & 35TH STREET
NEW YORK, NY 10001",303,WW,04/30/2011,License is Inactive,1146548,WHOLESALE WINE,License is Inactive,,12/04/2003,05/04/2010,04/30/2011
GOTHAM CITY PARTNERS LLC,"511 W 28TH ST
NEW YORK, NY 10001",252,OP,04/30/2008,License is Inactive,1146585,ON-PREMISES LIQUOR,License is Inactive,4,12/05/2003,05/01/2006,04/30/2008
GOTHAM CITY PARTNERS LLC,"511 W 28TH ST
NEW YORK, NY 10001",901,OP,04/30/2008,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,4,"
",GOTHAM CITY PARTNERS LLC,QUO                                       ADDL BAR,1
A & R PETROLEUM INC,"239 10TH AVE
NEW YORK, NY 10001",122,AX,04/30/2016,License is Inactive,1146997,"GROCERY BEER, WINE PROD",License is Inactive,4,12/18/2003,05/01/2013,04/30/2016
RUBY FALLS INC,"609 W 29TH ST
11TH AVENUE & 12TH AVENUE
NEW YORK, NY 10001",252,OP,04/30/2006,License is Inactive,1147548,ON-PREMISES LIQUOR,License is Inactive,2,01/05/2004,05/12/2004,04/30/2006
RUBY FALLS INC,"609 W 29TH ST
NEW YORK, NY 10001",901,OP,04/30/2006,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,2,"
",RUBY FALLS INC,,1
10TH AVENUE GOURMET #1 INC,"311 10TH AVENUE
27TH & 28TH STREETS
NEW YORK, NY 10001",122,AX,01/31/2007,License is Inactive,1147591,"GROCERY BEER, WINE PROD",License is Inactive,4,01/06/2004,02/25/2004,01/31/2007
10TH AVENUE GOURMET #1 INC,"311 10TH AVENUE
NEW YORK, NY 10001",001,ST,04/10/2004,License is Inactive,1147592,TEMPORARY PERMIT,License is Inactive,4,01/06/2004,01/12/2004,04/10/2004
"311 BEST GOURMET DELI, INC.","311 10TH AVENUE
NEW YORK, NY 10001",ML1,AX,02/25/2004,License is Inactive,1147593,"GROCERY BEER, WINE PROD",License is Inactive,4,01/06/2004,02/25/2004,02/25/2004
WONJO GRACE CORP,"23 W 32ND ST 4TH FLOOR
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",252,OP,02/28/2006,Expired,1147601,ON-PREMISES LIQUOR,Expired,1,01/06/2004,03/19/2004,02/28/2006
WONJO 32ND CORP,"23 W 32ND ST 5TH FLOOR
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",252,OP,02/28/2006,Expired,1147964,ON-PREMISES LIQUOR,Expired,3,01/16/2004,03/22/2004,02/28/2006
A & R PETROLEUM INC,"239 10TH AVE
NEW YORK, NY 10001",001,ST,04/25/2004,License is Inactive,1147995,TEMPORARY PERMIT,License is Inactive,4,01/20/2004,01/27/2004,04/25/2004
S & J PETROLEUM INC,"239 10TH AVENUE
NEW YORK, NY 10001",ML1,AX,05/07/2004,License is Inactive,1147996,"GROCERY BEER, WINE PROD",License is Inactive,4,01/20/2004,05/07/2004,05/07/2004
HAN BAAT RESTAURANT INC,"43 WEST 32ND STREET
NEW YORK, NY 10001",ML1,OP,01/27/2004,License is Inactive,1148189,ON-PREMISES LIQUOR,License is Inactive,4,01/26/2004,01/27/2004,01/27/2004
K.R. SPACE UNTITLED INC,"34 36 W 32ND STREET
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",341,RW,,License is Inactive,1148417,RESTAURANT WINE,License is Inactive,1,02/04/2004,,
314 5TH ENTERPRISES INC,"314 5TH AVE 2FL
31ST STREET & 32ND STREET
NEW YORK, NY 10001",252,OP,09/30/2016,License is Active,1148686,ON-PREMISES LIQUOR,License is Active,4,02/11/2004,10/01/2014,09/30/2016
MDS MANAGEMENT CORP,"338 8TH AVENUE
CRNOF W 27TH STREET & 8TH AVE
NEW YORK, NY 10001",341,RW,02/28/2005,Expired,1149024,RESTAURANT WINE,Expired,1,02/23/2004,03/31/2004,02/28/2005
SOMMELIER IMPORTS INC,"352 7TH AVE SUITE 1209
NEW YORK, NY 10001",303,WW,09/30/2016,License is Active,1149071,WHOLESALE WINE,License is Active,,02/24/2004,10/18/2013,09/30/2016
HYON KYONG KIM,"34 W 35TH STREET
5TH & 6TH AVENUES
NEW YORK, NY 10001",341,RW,10/31/2008,License is Inactive,1149516,RESTAURANT WINE,License is Inactive,1,03/08/2004,11/01/2007,10/31/2008
PEREGRINE ENTERPRISES INC,"50 W 33RD ST 1ST MEZZ & 2ND FL
5TH AVENUE & BROADWAY
NEW YORK, NY 10001",252,OP,08/31/2017,License is Active,1149557,ON-PREMISES LIQUOR,License is Active,3,03/10/2004,09/01/2015,08/31/2017
PEREGRINE ENTERPRISES INC,"50 W 33RD ST 1ST MEZZ & 2ND FL
NEW YORK, NY 10001",901,OP,08/31/2017,License is Active,ON-PREMISES LIQUOR,License is Active,3,"
",PEREGRINE ENTERPRISES INC,ADDL BAR MEZZANINE,1
PEREGRINE ENTERPRISES INC,"50 W 33RD ST 1ST MEZZ & 2ND FL
NEW YORK, NY 10001",902,OP,08/31/2017,License is Active,ON-PREMISES LIQUOR,License is Active,3,"
",PEREGRINE ENTERPRISES INC,ADDL BAR 2ND FLOOR,1
TWINS PUB INC,"421 9TH AVENUE
NEW YORK, NY 10001",901,TL,02/28/2017,License is Active,O.P. FOOD AND BEV,License is Active,2,"
",TWINS PUB INC,,1
EAGLE OPEN KITCHEN LLC,"554 WEST 28TH ST
NEW YORK, NY 10001",902,OP,08/31/2017,License is Active,ON-PREMISES LIQUOR,License is Active,3,"
",EAGLE OPEN KITCHEN LLC,,1
DAMORWAS INC,"292 5TH AVE STE 303 4TH FLR
NEW YORK, NY 10001",303,WW,07/31/2008,License is Inactive,1149874,WHOLESALE WINE,License is Inactive,,03/19/2004,08/01/2007,07/31/2008
168 WEST 27TH ST INC,"168 W 27TH ST
CRN OF 27TH & 7TH AVENUE
NEW YORK, NY 10001",341,RW,06/30/2013,Expired,1149934,RESTAURANT WINE,Expired,2,03/22/2004,07/01/2012,06/30/2013
168 WEST 27TH ST INC,"168 W 27TH ST
NEW YORK, NY 10001",001,ST,07/14/2004,Expired,1149935,TEMPORARY PERMIT,Expired,2,03/22/2004,04/16/2004,07/14/2004
MANHATTEN HERO CORP,"168 W 27TH STREET
NEW YORK, NY 10001",ML1,EB,07/26/2004,License is Inactive,1149936,EATING PLACE BEER,License is Inactive,2,03/22/2004,07/26/2004,07/26/2004
SAI BHAU CONVENIENCE STORE INC,"153 159 W 27TH ST STORE #4
NEW YORK, NY 10001",122,AX,05/31/2010,License is Inactive,1150124,"GROCERY BEER, WINE PROD",License is Inactive,1,03/26/2004,06/01/2007,05/31/2010
PATTIE'S R US INC,"408 8TH AVENUE
NEW YORK, NY 10001",252,OP,05/31/2006,Expired,1150636,ON-PREMISES LIQUOR,Expired,2,04/09/2004,06/18/2004,05/31/2006
295 SEVENTH MARKET CORP,"295 7TH AVENUE
26TH AND 27TH STREETS
NEW YORK, NY 10001",141,EB,06/30/2016,License is Active,1150711,EATING PLACE BEER,License is Active,1,04/12/2004,07/26/2013,06/30/2016
FIT MARKET CORP,"295 7TH AVENUE
NEW YORK, NY 10001",001,ST,,Pending,1150712,TEMPORARY PERMIT,Pending,1,04/12/2004,,
RAINBOW GOURMET DELI INC,"295 7TH AVE
NEW YORK, NY 10001",ML1,EB,07/09/2004,License is Inactive,1150713,EATING PLACE BEER,License is Inactive,1,04/12/2004,07/09/2004,07/09/2004
WINEBOW INC,"236 W 26TH ST
SUITE 401
NEW YORK, NY 10001",203,LL,05/31/2016,License is Inactive,1150755,WHOLESALE LIQUOR,License is Inactive,,04/14/2004,06/01/2013,05/31/2016
NIJAA INC,"601 W 26TH STREET
11TH & 12TH AVEUES
NEW YORK, NY 10001",252,OP,05/31/2006,License is Inactive,1150949,ON-PREMISES LIQUOR,License is Inactive,2,04/20/2004,06/08/2004,05/31/2006
BHAUSAI CONVENIENCE STORE INC,"153 159 W 27TH STREET
NEW YORK, NY 10001",001,ST,07/27/2004,License is Inactive,1151008,TEMPORARY PERMIT,License is Inactive,1,04/21/2004,04/29/2004,07/27/2004
27TH STREET GROCERY CORP,"153 W 27TH STREET
NEW YORK, NY 10001",ML1,A,06/01/2004,License is Inactive,1151009,GROCERY STORE BEER,License is Inactive,1,04/21/2004,06/01/2004,06/01/2004
PHO 32 & SHABU CORP,"2 W 32ND ST STORE# 4
NEW YORK, NY 10001",341,RW,07/31/2017,License is Active,1151278,RESTAURANT WINE,License is Active,4,04/27/2004,08/01/2015,07/31/2017
USEFUL LLC,"107 W 25TH STREET
6TH & 7TH AVENUES
NEW YORK, NY 10001",222,L,,License is Inactive,1151301,LIQUOR STORE,License is Inactive,1,04/28/2004,,
PAD THAI 8TH AVE INC,"409 8TH AVENUE, SOUTH STORE
30TH ST & 31ST STREET
NEW YORK, NY 10001",341,RW,06/30/2017,License is Inactive,1151751,RESTAURANT WINE,License is Inactive,3,05/11/2004,07/01/2015,06/30/2017
LOS AMIGOS DE MORGAN INC,"315 10TH AVE
29TH & 29TH STREETS
NEW YORK, NY 10001",252,OP,10/31/2008,License is Inactive,1151772,ON-PREMISES LIQUOR,License is Inactive,3,05/12/2004,11/01/2006,10/31/2008
LOS AMIGOS DE MORGAN INC,"315 10TH AVE
NEW YORK, NY 10001",ML1,RW,11/02/2004,License is Inactive,1151773,RESTAURANT WINE,License is Inactive,3,05/12/2004,11/02/2004,11/02/2004
SANAA BAKE SHOP INC,"260 W 35TH STREET
NEW YORK, NY 10001",341,RW,07/31/2017,License is Active,1151813,RESTAURANT WINE,License is Active,1,05/13/2004,08/18/2015,07/31/2017
MADISON SQUARE GARDEN L P,"4 PENNSYLVANIA PLAZA
NEW YORK, NY 10001",929,OP,,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,1,"
",MADISON SQUARE GARDEN L P,ADDL BAR  6TH FLOOR,1
CLUB BR LLC,"530 542 W 27TH STREET 6TH F
10TH & 11TH AVENUES
NEW YORK, NY 10001",252,OP,11/30/2006,License is Inactive,1152735,ON-PREMISES LIQUOR,License is Inactive,2,05/26/2004,12/15/2004,11/30/2006
CLUB BR LLC,"530 542 W 27TH STREET 6TH F
NEW YORK, NY 10001",901,OP,11/30/2006,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,2,"
",CLUB BR LLC,,1
CLUB BR LLC,"530 542 W 27TH STREET 6TH F
NEW YORK, NY 10001",902,OP,11/30/2006,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,2,"
",CLUB BR LLC,,1
SUN & MOON VENTURES CORP,"25 W 35TH ST, 2ND FLOOR
5TH & 6TH AVENUES
NEW YORK, NY 10001",252,OP,12/31/2010,License is Inactive,1152886,ON-PREMISES LIQUOR,License is Inactive,4,06/02/2004,08/06/2009,12/31/2010
GUISEPPE'S RESTAURANT CORP,"76 WEST 35TH STREET
BROADWAY & 6TH AVENUE
NEW YORK, NY 10001",341,RW,07/31/2007,Expired,1153174,RESTAURANT WINE,Expired,3,06/08/2004,08/01/2006,07/31/2007
AMA RESTAURANTS LLC,"410 8TH AVENUE
31ST & 32ND STREETS
NEW YORK, NY 10001",252,OP,09/30/2016,License is Active,1153660,ON-PREMISES LIQUOR,License is Active,3,06/23/2004,10/01/2014,09/30/2016
DRUMKEERIN REST INC,"410 8TH AVENUE
NEW YORK, NY 10001",ML1,RL,10/05/2004,License is Inactive,1153661,RESTAURANT LIQUOR,License is Inactive,3,06/23/2004,10/05/2004,10/05/2004
AMA RESTAURANTS LLC,"410 8TH AVENUE
NEW YORK, NY 10001",001,ST,10/12/2004,Expired,1153662,TEMPORARY PERMIT,Expired,3,06/23/2004,07/15/2004,10/12/2004
K L P ENTERTAINMENT INC,"11 W 32ND ST 3RD & 4TH FL
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",252,OP,08/31/2017,License is Active,1153818,ON-PREMISES LIQUOR,License is Active,1,06/28/2004,09/01/2015,08/31/2017
S WALLACE INC,"2 W 35TH ST
5TH & 6TH AVENUES
NEW YORK, NY 10001",252,OP,08/31/2012,License is Inactive,1154036,ON-PREMISES LIQUOR,License is Inactive,2,07/06/2004,09/01/2010,08/31/2012
S WALLACE INC,"2 W 35TH ST
NEW YORK, NY 10001",901,OP,08/31/2012,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,2,"
",S WALLACE INC,KATWALK BAR & LOUNGE,1
DAN PER INC,"2 W 35TH ST
NEW YORK, NY 10001",ML1,OP,09/17/2004,License is Inactive,1154040,ON-PREMISES LIQUOR,License is Inactive,2,07/06/2004,09/17/2004,09/17/2004
DIMPY INC,"11 W 30TH STREET
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",341,RW,10/31/2008,License is Inactive,1154201,RESTAURANT WINE,License is Inactive,1,07/08/2004,11/01/2007,10/31/2008
PRIMO COFFEE INC,"LIRR PENN STATION AMTRACK LVL
7TH 8TH AVENUES
NEW YORK, NY 10001",341,RW,09/30/2017,License is Active,1154721,RESTAURANT WINE,License is Active,1,07/22/2004,10/01/2015,09/30/2017
PRIMO COFFEE INC,"LIRR PENN STATION AMTRACK LVL
NEW YORK, NY 10001",001,ST,11/02/2004,Expired,1154722,TEMPORARY PERMIT,Expired,1,07/22/2004,08/05/2004,11/02/2004
PATRICIA REILLY FOOD CONCEPTS,"PENN STA AMTRAK LEVEL
NEW YORK, NY 10001",ML1,RW,10/22/2004,License is Inactive,1154724,RESTAURANT WINE,License is Inactive,1,07/22/2004,10/22/2004,10/22/2004
424 COFFEE MAKER INC,"424 WEST 33RD STREET
33RD BET 9TH & 10TH AVES W
NEW YORK, NY 10001",122,AX,08/31/2007,License is Inactive,1154921,"GROCERY BEER, WINE PROD",License is Inactive,1,07/28/2004,09/23/2004,08/31/2007
240 9TH AVENUE LLC,"240 9TH AVE
WEST 24TH & 2 25TH STREETS
NEW YORK, NY 10001",341,RW,09/30/2005,Expired,1155268,RESTAURANT WINE,Expired,3,08/10/2004,10/20/2004,09/30/2005
A M C 35TH STREET FOOD CORP,"240 WEST 35TH STREET
7TH & 8TH AVENUES
NEW YORK, NY 10001",252,OP,10/31/2016,License is Active,1155784,ON-PREMISES LIQUOR,License is Active,4,08/24/2004,11/01/2014,10/31/2016
